x,y,z,srp_score
1.1600000000000001,0.12000000000000001,0.0,0.029730397248496892
1.18,0.12000000000000001,0.0,0.029475343226413896
0.02,0.13999999999999999,0.0,-0.00042192481734142095
0.04,0.13999999999999999,0.0,0.0012077641917204126
0.06,0.13999999999999999,0.0,-0.0036681836283267407
0.08,0.13999999999999999,0.0,-0.004893082181774505
0.1,0.13999999999999999,0.0,0.02628069855026719
0.12000000000000001,0.13999999999999999,0.0,0.007479496698001852
0.13999999999999999,0.13999999999999999,0.0,-0.00869443969845624
0.16,0.13999999999999999,0.0,0.0023243205618193223
0.18,0.13999999999999999,0.0,-0.00787841875972641
0.19999999999999998,0.13999999999999999,0.0,0.002406124696903252
0.22,0.13999999999999999,0.0,-0.007391491845350123
0.24,0.13999999999999999,0.0,0.021651565005007357
0.26,0.13999999999999999,0.0,0.010701368638036831
0.28,0.13999999999999999,0.0,-0.005363132016429292
0.30000000000000004,0.13999999999999999,0.0,-0.0036900019060676775
0.32,0.13999999999999999,0.0,0.025293330133467032
0.34,0.13999999999999999,0.0,0.03204916607931291
0.36000000000000004,0.13999999999999999,0.0,0.03243479179715141
0.38,0.13999999999999999,0.0,0.0029634166028894796
0.4,0.13999999999999999,0.0,0.022984005745791264
0.42000000000000004,0.13999999999999999,0.0,-0.003165906561282083
0.44,0.13999999999999999,0.0,0.010050674171611276
0.46,0.13999999999999999,0.0,0.016076500205830856
0.48000000000000004,0.13999999999999999,0.0,-0.0003046441324312324
0.5,0.13999999999999999,0.0,-0.004086446106777759
0.52,0.13999999999999999,0.0,0.0106302813156669
0.54,0.13999999999999999,0.0,0.003167347041954383
0.56,0.13999999999999999,0.0,0.035461132242039214
0.5800000000000001,0.13999999999999999,0.0,-0.0014212551057599745
0.6,0.13999999999999999,0.0,-0.0013569931797386542
0.62,0.13999999999999999,0.0,0.03034712607700701
0.64,0.13999999999999999,0.0,0.0008027115013292865
0.66,0.13999999999999999,0.0,0.009573015156764378
0.68,0.13999999999999999,0.0,-0.003989205148987023
0.7000000000000001,0.13999999999999999,0.0,0.000857808101535004
0.7200000000000001,0.13999999999999999,0.0,0.000583574771032667
0.74,0.13999999999999999,0.0,-0.0010300824878901051
0.76,0.13999999999999999,0.0,-0.0029971351209697535
0.78,0.13999999999999999,0.0,-0.005786813784682805
0.8,0.13999999999999999,0.0,-0.004548898163323302
0.8200000000000001,0.13999999999999999,0.0,-0.0004904725701024887
0.8400000000000001,0.13999999999999999,0.0,0.002628669408639632
0.86,0.13999999999999999,0.0,0.0039518264841811425
0.88,0.13999999999999999,0.0,0.0018036994814838454
0.9,0.13999999999999999,0.0,0.001203640285107831
0.92,0.13999999999999999,0.0,-0.00268535163345856
0.9400000000000001,0.13999999999999999,0.0,-0.00543187443400492
0.9600000000000001,0.13999999999999999,0.0,-0.005347143569809325
0.98,0.13999999999999999,0.0,-0.0024801690789213295
1.0,0.13999999999999999,0.0,0.0016041943713786975
