scene_id,experiment_id,variable,value,source_count,mic_layout,num_mics,num_pairs,rt60,snr,grid_spacing_m,source_plane_z,search_plane_z,source1_start_sec,source2_start_sec,event_gap_sec,source_distance_cm,true1_x,true1_y,true2_x,true2_y,pred1_x,pred1_y,pred1_score,pred2_x,pred2_y,pred2_score,match1_error_cm,match2_error_cm,mean_error_cm,max_error_cm,num_true_sources,num_pred_peaks,num_hit,both_hit,miss_count,false_alarm_count,num_active_frames,frame_starts_sec,seed,noise_seed,hit_radius_m,min_pred_pair_distance_m,density_sigma_m,cluster_sigma_m,density_weight,cluster_prior_weight,hybrid_score_gamma,peak_threshold_rel,nms_radius_m,max_peak_candidates,frame_sec,hop_sec,max_active_frames,energy_threshold_rel,frames_per_event,min_event_gap_sec,cluster_trim_radius_m
day4_scene_0088,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.16452094613085952,0.5639329824594658,0.3994120363286062,46.883108653457064,0.24127914735037082,0.09611501751337442,0.6597856316603182,0.30743210222664075,0.6200000000000001,0.36000000000000004,1.0,0.32000000000000006,0.1,0.49764970119661595,7.881665896754332,6.592632526480497,7.237149211617414,7.881665896754332,2,2,2,True,0,0,4,0.035;0.070;0.455;0.490,20260715,21060715,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0089,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.4163053995336874,0.7142016310133932,0.2978962314797058,36.50838930121489,0.15237498129049792,0.5641726448276653,0.5100100484169295,0.49080093571319144,0.16000000000000003,0.5800000000000001,1.0,0.54,0.52,0.8232329277648527,1.7568326103288563,4.185669063817746,2.971250837073301,4.185669063817746,2,2,2,True,0,0,4,0.280;0.315;0.560;0.595,20260716,21060716,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0090,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.34969466279377676,0.7411423399593221,0.39144767716554535,39.503980864759534,0.23494076789739715,0.408968567216627,0.5887970374618678,0.23334911810507397,0.6000000000000001,0.22000000000000003,1.0,0.3400000000000001,0.4000000000000001,0.8900907819238592,10.544134600766318,1.7427143306176358,6.143424465691977,10.544134600766318,2,2,1,False,1,1,4,0.245;0.280;0.595;0.630,20260717,21060717,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0091,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.4469540764339171,0.749918566990973,0.30296449055705593,42.10829478309012,0.9462387687825995,0.626562887763348,0.6123235273399366,0.3700254431548668,0.9400000000000002,0.6200000000000001,1.0,0.6000000000000001,0.38000000000000006,0.9312586515406716,0.9055039023496115,1.5854371963435083,1.2454705493465599,1.5854371963435083,2,2,2,True,0,0,4,0.315;0.350;0.595;0.630,20260718,21060718,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0092,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.30955515765500685,0.8071498784045165,0.4975947207495096,44.432163338251115,0.5108374945580851,0.5546014689731318,0.10874541783331312,0.36554148979492823,0.08,0.38000000000000006,1.0,0.52,0.54,0.5755554318596008,1.7238167018173625,3.2176817178862214,2.470749209851792,3.2176817178862214,2,2,2,True,0,0,4,0.175;0.210;0.700;0.735,20260719,21060719,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0093,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.07231470876454188,0.7567969973993623,0.6844822886348205,47.401640697341634,0.7277088503783629,0.4491843510379052,1.0632202376538775,0.1143356343187768,0.7400000000000001,0.38000000000000006,1.0,1.0800000000000003,0.14,0.45199406953869026,7.026767953730621,3.066300849903524,5.046534401817072,7.026767953730621,2,2,2,True,0,0,4,0.035;0.070;0.630;0.665,20260720,21060720,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0094,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.09458202096698994,0.5543549750712254,0.4597729541042355,33.58393307038902,0.8090201278998418,0.23222142239241922,0.5217044374420333,0.4061114740468762,0.8200000000000001,0.24000000000000005,1.0,0.5800000000000001,0.38000000000000006,0.7936426355306235,1.3455997210648933,6.387629991515241,3.866614856290067,6.387629991515241,2,2,2,True,0,0,4,0.070;0.105;0.420;0.455,20260721,21060721,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0095,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.2456261596721942,0.5348898939028186,0.2892637342306244,34.33331479398426,0.858312276160647,0.6407846512148747,0.7308160495236016,0.32200202517073634,0.8600000000000001,0.66,1.0,0.7400000000000001,0.3400000000000001,0.9883958650423357,1.928932452658563,2.0205742854637934,1.9747533690611783,2.0205742854637934,2,2,2,True,0,0,4,0.140;0.175;0.385;0.420,20260722,21060722,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0096,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.05416460200798453,0.8022961137892409,0.7481315117812564,62.407781189098856,0.4947275779507618,0.19316755206071703,1.082643556301973,0.4025187347513872,1.1200000000000003,0.36000000000000004,1.0,0.56,0.2,0.9588771332038265,6.562904406599945,5.659811561017476,6.111357983808711,6.562904406599945,2,2,2,True,0,0,4,0.035;0.070;0.665;0.700,20260723,21060723,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0097,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.38692226586593703,0.7784066580428468,0.3914843921769098,44.033300052441135,0.30535388911620703,0.5945430155665478,0.40074314083210844,0.16466624019026432,0.28,0.56,1.0,0.38000000000000006,0.2,0.5933955304027229,4.284903286828861,4.097258197713167,4.191080742271014,4.284903286828861,2,2,2,True,0,0,4,0.280;0.315;0.665;0.700,20260724,21060724,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0098,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.3827505538919123,0.7532331900036159,0.37048263611170357,30.85826795309725,0.8290351733296961,0.31556485611060325,1.1190654468007277,0.2101812208685339,1.1000000000000003,0.22000000000000003,1.0,0.7600000000000001,0.38000000000000006,0.6737784822486643,9.443380181221363,2.144527186453652,5.793953683837508,9.443380181221363,2,2,2,True,0,0,4,0.245;0.280;0.630;0.665,20260725,21060725,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0099,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.17161095732292092,0.5668900048231431,0.3952790475002222,44.771821160750115,0.41629615495628347,0.47793086081700287,0.8612769633958919,0.4284972980741486,0.4000000000000001,0.4000000000000001,1.0,0.8800000000000001,0.4400000000000001,0.5330563525367893,7.961647903567616,2.1974172368345637,5.07953257020109,7.961647903567616,2,2,2,True,0,0,4,0.070;0.105;0.455;0.490,20260726,21060726,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
day4_scene_0100,E4_day4_baseline,source_distance,>=30cm,2,mic_8,8,28,0.3,20.0,0.02,0.35,0.35,0.040752077076639845,0.44828194845984404,0.4075298713832042,77.84431337284275,0.23746729512497722,0.6615471955136091,0.9559472842580248,0.36194709927812657,0.32000000000000006,0.6200000000000001,1.0,0.8600000000000001,0.38000000000000006,0.7378878153658468,9.240030751590425,9.763087923891709,9.501559337741067,9.763087923891709,2,2,2,True,0,0,4,0.035;0.070;0.315;0.350,20260727,21060727,0.1,0.18,0.045,0.04,0.15,0.85,1.2,0.03,0.08,30,0.24,0.035,8,0.06,2,0.28,0.12
