scene_id,source_id,experiment_id,variable,value,source_count,mic_layout,num_mics,num_pairs,rt60,snr,scene_type,grid_spacing_m,search_plane_z,source_plane_z,true_x,true_y,true_z,pred_x,pred_y,pred_z,error_cm,hit_10cm,hit_20cm,score,srp_peak_score,matched,seed,noise_seed
scene_0028,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.7140792959859823,0.48394441623276513,0.35,0.7200000000000001,0.4000000000000001,0.35,8.415295450951984,True,True,0.6157909901705766,0.6157909901705766,True,20260654,20300654
scene_0029,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.8359175482022422,0.49158505909396566,0.35,0.32000000000000006,0.4000000000000001,0.35,52.398352988644405,False,False,0.617892650753287,0.617892650753287,False,20260655,20300655
scene_0030,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.2816634964931603,0.08602194687590838,0.35,1.1200000000000003,0.66,0.35,101.60014264656307,False,False,0.6159991596403958,0.6159991596403958,False,20260656,20300656
scene_0031,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.0808523467099977,0.3304179764471413,0.35,1.1200000000000003,0.32000000000000006,0.35,4.051015911308471,True,True,0.691701166246706,0.691701166246706,True,20260657,20300657
scene_0032,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.9571532491424077,0.3560065583671004,0.35,0.9200000000000002,0.38000000000000006,0.35,4.4227244581017855,True,True,0.6173253002119549,0.6173253002119549,True,20260658,20300658
scene_0033,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.104402647505421,0.6554898977639605,0.35,1.0600000000000003,0.66,0.35,4.463111165622215,True,True,0.6915717515203863,0.6915717515203863,True,20260659,20300659
scene_0034,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.0774154973452033,0.631195539492706,0.35,1.1200000000000003,0.64,0.35,4.348515138735197,True,True,0.6724908684376071,0.6724908684376071,True,20260660,20300660
scene_0035,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.660505642347543,0.184629172196087,0.35,0.6000000000000001,0.24000000000000005,0.35,8.201744526367165,True,True,0.6766289150441935,0.6766289150441935,True,20260661,20300661
scene_0036,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.9135425399173397,0.11727817583086708,0.35,0.9600000000000001,0.5000000000000001,0.35,38.553117940405386,False,False,0.7008860994755168,0.7008860994755168,False,20260662,20300662
scene_0037,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.45512684354363786,0.42081693447440405,0.35,0.5800000000000001,0.32000000000000006,0.35,16.04909950127775,False,True,0.6769206088459521,0.6769206088459521,False,20260663,20300663
scene_0038,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.213758747427372,0.40330812285423906,0.35,0.2,0.38000000000000006,0.35,2.7066062176802035,True,True,0.7570074953975342,0.7570074953975342,True,20260664,20300664
scene_0039,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.2979686873412104,0.39375142041506084,0.35,0.5800000000000001,0.38000000000000006,0.35,28.23663628753817,False,False,0.6942474038107176,0.6942474038107176,False,20260665,20300665
scene_0040,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.10314530018681942,0.6273975564990586,0.35,0.08,0.66,0.35,3.998279933884147,True,True,0.6534809832313097,0.6534809832313097,True,20260666,20300666
scene_0041,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.15256960220897903,0.3382610832840304,0.35,0.54,0.36000000000000004,0.35,38.80398093398313,False,False,0.6909643578896183,0.6909643578896183,False,20260667,20300667
scene_0042,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.017150404822299,0.5890297112312395,0.35,0.6000000000000001,0.4000000000000001,0.35,45.79811043826739,False,False,0.5811344317851639,0.5811344317851639,False,20260668,20300668
scene_0043,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.9951139715426243,0.21177701145416095,0.35,1.0800000000000003,0.14,0.35,11.116464006399339,False,True,0.5885906679248892,0.5885906679248892,False,20260669,20300669
scene_0044,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.6785369006482386,0.3315381533168737,0.35,0.6200000000000001,0.38000000000000006,0.35,7.599420584123888,True,True,0.5610679829457246,0.5610679829457246,True,20260670,20300670
scene_0045,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.31927527494403074,0.6681431688698649,0.35,0.32000000000000006,0.66,0.35,0.8175354772111497,True,True,0.6201269958576499,0.6201269958576499,True,20260671,20300671
scene_0046,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.4138052125113325,0.11519533297297213,0.35,0.4200000000000001,0.08,0.35,3.573635201175592,True,True,0.5813806245288882,0.5813806245288882,True,20260672,20300672
scene_0047,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.20919442250343712,0.538257649151311,0.35,0.2,0.4200000000000001,0.35,11.861453953022059,False,True,0.5384747955227923,0.5384747955227923,False,20260673,20300673
scene_0048,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.4304552938646173,0.18007152400070336,0.35,0.4000000000000001,0.32000000000000006,0.35,14.320441096511638,False,True,0.5935485288977268,0.5935485288977268,False,20260674,20300674
scene_0049,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.2584009484260853,0.3312095523831847,0.35,0.30000000000000004,0.3400000000000001,0.35,4.251767939520211,True,True,0.6242431472344291,0.6242431472344291,True,20260675,20300675
scene_0050,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.32652002826916526,0.47473707920007885,0.35,0.56,0.2,0.35,36.05459192486053,False,False,0.6329740624487336,0.6329740624487336,False,20260676,20300676
scene_0051,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.9080062099714555,0.40148355467278196,0.35,0.8600000000000001,0.4000000000000001,0.35,4.80291279359786,True,True,0.6988939670530154,0.6988939670530154,True,20260677,20300677
scene_0052,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.8282174148362811,0.08742164362794756,0.35,0.8200000000000001,0.08,0.35,1.1072791009126206,True,True,0.6652982148543406,0.6652982148543406,True,20260678,20300678
scene_0053,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.6696996240145393,0.33132768927679335,0.35,0.6200000000000001,0.3400000000000001,0.35,5.045058572966629,True,True,0.7019511215131254,0.7019511215131254,True,20260679,20300679
scene_0054,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.11021623263815401,0.3118214166401445,0.35,0.08,0.36000000000000004,0.35,5.686999744509922,True,True,0.6365666189177153,0.6365666189177153,True,20260680,20300680
scene_0055,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.994762534527545,0.5672558981489705,0.35,0.9800000000000001,0.52,0.35,4.9508103736083715,True,True,0.6220302957771691,0.6220302957771691,True,20260681,20300681
scene_0056,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.816201665026683,0.5867439099410949,0.35,1.1200000000000003,0.4200000000000001,0.35,34.655008272254655,False,False,0.5703852550664984,0.5703852550664984,False,20260682,20300682
scene_0057,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.3659658544183925,0.6453093319080601,0.35,0.4000000000000001,0.66,0.35,3.7069378123426895,True,True,0.6247919079789566,0.6247919079789566,True,20260683,20300683
scene_0058,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.15921999320464417,0.25353679869070556,0.35,0.8400000000000001,0.3400000000000001,0.35,68.6248717909867,False,False,0.5600919708770941,0.5600919708770941,False,20260684,20300684
scene_0059,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.5334721216308156,0.4214407565288687,0.35,0.5800000000000001,0.4000000000000001,0.35,5.123035727054661,True,True,0.7129895682204918,0.7129895682204918,True,20260685,20300685
scene_0060,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.7703121542452164,0.4699099661338723,0.35,0.7800000000000001,0.38000000000000006,0.35,9.043039514213424,True,True,0.6781925468212651,0.6781925468212651,True,20260686,20300686
