scene_index,layout,num_mics,rt60_sec,snr_db,source_mode,true_x,true_y,true_z,est_x,est_y,est_z,localization_error_m,localization_error_cm,srp_peak_score,mic0_si_sdr_db,das_true_si_sdr_db,das_est_si_sdr_db,das_true_si_sdri_db,das_est_si_sdri_db,mic0_snr_ref_db,das_true_snr_ref_db,das_est_snr_ref_db,das_true_snr_improvement_db,das_est_snr_improvement_db,mic0_align_lag_samples,das_true_align_lag_samples,das_est_align_lag_samples,mic0_audio,das_true_audio,das_est_audio,das_true_clean_reference_audio,das_est_clean_reference_audio,compare_figure,metadata
10,mic_8,8,0.3,20.0,probe,0.28664650794036484,0.6144670770934505,0.35,0.36000000000000004,0.66,0.35,0.0863364457558727,8.633644575587269,0.5669517641329566,20.171329394541342,27.94215733748503,27.02379607415184,7.770827942943686,6.852466679610497,20.17221502657455,27.94354135891978,27.024422240118,7.771326332345232,6.852207213543451,0,0,0,results\week3\day1\das\audio\scene_010\mic0_single.wav,results\week3\day1\das\audio\scene_010\das_true_position.wav,results\week3\day1\das\audio\scene_010\das_est_position.wav,results\week3\day1\das\audio\scene_010\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_010\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_010\spectrogram_compare.png,results\week3\day1\das\scenes\scene_010\metadata.json
11,mic_8,8,0.3,20.0,probe,0.8002087055203344,0.3646129552968231,0.35,0.8200000000000001,0.38000000000000006,0.35,0.025069034322813693,2.5069034322813692,0.5888303969316255,19.882301437760262,27.047476508386055,27.0228440623224,7.165175070625793,7.140542624562137,19.884210848033334,27.049237272790986,27.024518652611846,7.165026424757652,7.140307804578512,0,0,0,results\week3\day1\das\audio\scene_011\mic0_single.wav,results\week3\day1\das\audio\scene_011\das_true_position.wav,results\week3\day1\das\audio\scene_011\das_est_position.wav,results\week3\day1\das\audio\scene_011\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_011\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_011\spectrogram_compare.png,results\week3\day1\das\scenes\scene_011\metadata.json
12,mic_8,8,0.3,20.0,probe,0.29517799591366356,0.6422335454829924,0.35,0.30000000000000004,0.6000000000000001,0.35,0.04250792970108783,4.250792970108782,0.5644346920354659,20.106209106757788,26.774503635232204,26.641895615884657,6.668294528474416,6.535686509126869,20.107020405227118,26.773508391751015,26.641228764713457,6.666487986523897,6.534208359486339,0,0,0,results\week3\day1\das\audio\scene_012\mic0_single.wav,results\week3\day1\das\audio\scene_012\das_true_position.wav,results\week3\day1\das\audio\scene_012\das_est_position.wav,results\week3\day1\das\audio\scene_012\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_012\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_012\spectrogram_compare.png,results\week3\day1\das\scenes\scene_012\metadata.json
13,mic_8,8,0.3,20.0,probe,1.0765118606518027,0.6498257507486167,0.35,1.1000000000000003,0.66,0.35,0.025597031817568665,2.5597031817568663,0.563330024783708,19.575661194652472,26.05732853092054,26.258293906066953,6.4816673362680675,6.682632711414481,19.619435479356838,25.829133591679515,26.014530025205552,6.209698112322677,6.395094545848714,0,0,0,results\week3\day1\das\audio\scene_013\mic0_single.wav,results\week3\day1\das\audio\scene_013\das_true_position.wav,results\week3\day1\das\audio\scene_013\das_est_position.wav,results\week3\day1\das\audio\scene_013\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_013\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_013\spectrogram_compare.png,results\week3\day1\das\scenes\scene_013\metadata.json
14,mic_8,8,0.3,20.0,probe,0.24127914735037082,0.09611501751337442,0.35,0.08,0.22000000000000003,0.35,0.2033677758539296,20.33677758539296,0.548435190211297,20.872300626809125,27.15552468732423,27.4467858806476,6.283224060515106,6.574485253838475,20.872847495302203,27.157107587224093,27.447245346887787,6.28426009192189,6.574397851585584,0,0,0,results\week3\day1\das\audio\scene_014\mic0_single.wav,results\week3\day1\das\audio\scene_014\das_true_position.wav,results\week3\day1\das\audio\scene_014\das_est_position.wav,results\week3\day1\das\audio\scene_014\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_014\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_014\spectrogram_compare.png,results\week3\day1\das\scenes\scene_014\metadata.json
15,mic_8,8,0.3,20.0,probe,0.15237498129049792,0.5641726448276653,0.35,0.14,0.5000000000000001,0.35,0.06535494247658576,6.535494247658575,0.536428100766909,19.87807602338085,26.73532233892461,27.015949889307546,6.857246315543762,7.1378738659266965,19.886059299003065,26.187061989015024,26.42354468716666,6.301002690011959,6.537485388163596,0,0,0,results\week3\day1\das\audio\scene_015\mic0_single.wav,results\week3\day1\das\audio\scene_015\das_true_position.wav,results\week3\day1\das\audio\scene_015\das_est_position.wav,results\week3\day1\das\audio\scene_015\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_015\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_015\spectrogram_compare.png,results\week3\day1\das\scenes\scene_015\metadata.json
16,mic_8,8,0.3,20.0,probe,0.5358695071789251,0.17995515078723986,0.35,0.6000000000000001,0.24000000000000005,0.35,0.08785274057453789,8.785274057453789,0.585088143464419,20.04096821866242,27.316204782976286,27.111027140505893,7.275236564313865,7.070058921843472,19.84526327795095,25.46847200520061,25.346845279538066,5.623208727249661,5.501582001587117,0,0,0,results\week3\day1\das\audio\scene_016\mic0_single.wav,results\week3\day1\das\audio\scene_016\das_true_position.wav,results\week3\day1\das\audio\scene_016\das_est_position.wav,results\week3\day1\das\audio\scene_016\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_016\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_016\spectrogram_compare.png,results\week3\day1\das\scenes\scene_016\metadata.json
17,mic_8,8,0.3,20.0,probe,0.9462387687825995,0.626562887763348,0.35,0.8800000000000001,0.5800000000000001,0.35,0.08096713534945398,8.096713534945398,0.5121531860361761,19.66121759780741,27.320773045814168,26.861422904395575,7.659555448006756,7.200205306588163,19.652843641164285,27.318390431939747,26.858630080360545,7.665546790775462,7.20578643919626,0,0,0,results\week3\day1\das\audio\scene_017\mic0_single.wav,results\week3\day1\das\audio\scene_017\das_true_position.wav,results\week3\day1\das\audio\scene_017\das_est_position.wav,results\week3\day1\das\audio\scene_017\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_017\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_017\spectrogram_compare.png,results\week3\day1\das\scenes\scene_017\metadata.json
18,mic_8,8,0.3,20.0,probe,0.5108374945580851,0.5546014689731318,0.35,0.5000000000000001,0.54,0.35,0.018183899044755272,1.8183899044755272,0.5706015806093897,19.91764796297055,27.183425512138804,26.769030615268406,7.265777549168256,6.851382652297858,19.91754308138171,27.180762535110826,26.766724143294045,7.263219453729118,6.849181061912336,0,0,0,results\week3\day1\das\audio\scene_018\mic0_single.wav,results\week3\day1\das\audio\scene_018\das_true_position.wav,results\week3\day1\das\audio\scene_018\das_est_position.wav,results\week3\day1\das\audio\scene_018\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_018\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_018\spectrogram_compare.png,results\week3\day1\das\scenes\scene_018\metadata.json
19,mic_8,8,0.3,20.0,probe,0.7277088503783629,0.4491843510379052,0.35,0.7400000000000001,0.38000000000000006,0.35,0.07026767953730621,7.026767953730621,0.6040951641208534,19.577928904282846,26.952250387664392,27.169033582487177,7.3743214833815465,7.591104678204331,19.571900896544193,26.95061929135848,27.16645670946505,7.378718394814285,7.594555812920856,0,0,0,results\week3\day1\das\audio\scene_019\mic0_single.wav,results\week3\day1\das\audio\scene_019\das_true_position.wav,results\week3\day1\das\audio\scene_019\das_est_position.wav,results\week3\day1\das\audio\scene_019\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_019\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_019\spectrogram_compare.png,results\week3\day1\das\scenes\scene_019\metadata.json
20,mic_8,8,0.3,20.0,probe,0.8090201278998418,0.23222142239241922,0.35,0.8200000000000001,0.24000000000000005,0.35,0.013455997210648933,1.3455997210648933,0.571663724898789,19.884378362131002,27.25913086454473,27.292225485118266,7.3747525024137275,7.407847122987263,19.800998519833797,25.942844264903698,25.971909546691347,6.141845745069901,6.170911026857549,0,0,0,results\week3\day1\das\audio\scene_020\mic0_single.wav,results\week3\day1\das\audio\scene_020\das_true_position.wav,results\week3\day1\das\audio\scene_020\das_est_position.wav,results\week3\day1\das\audio\scene_020\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_020\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_020\spectrogram_compare.png,results\week3\day1\das\scenes\scene_020\metadata.json
21,mic_8,8,0.3,20.0,probe,0.858312276160647,0.6407846512148747,0.35,0.8600000000000001,0.66,0.35,0.01928932452658563,1.928932452658563,0.5343955823131947,19.943561712948465,27.00336792807231,27.23877447926222,7.059806215123846,7.295212766313753,19.941680706449546,27.002363592420103,27.237462543847975,7.060682885970557,7.29578183739843,0,0,0,results\week3\day1\das\audio\scene_021\mic0_single.wav,results\week3\day1\das\audio\scene_021\das_true_position.wav,results\week3\day1\das\audio\scene_021\das_est_position.wav,results\week3\day1\das\audio\scene_021\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_021\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_021\spectrogram_compare.png,results\week3\day1\das\scenes\scene_021\metadata.json
22,mic_8,8,0.3,20.0,probe,0.4947275779507618,0.19316755206071703,0.35,0.56,0.2,0.35,0.06562904406599945,6.562904406599945,0.6158859731583644,20.077548604102567,27.35652808248533,26.624797706146488,7.278979478382762,6.547249102043921,20.119418365769054,27.25300306701228,26.550846623928457,7.133584701243226,6.4314282581594036,0,0,0,results\week3\day1\das\audio\scene_022\mic0_single.wav,results\week3\day1\das\audio\scene_022\das_true_position.wav,results\week3\day1\das\audio\scene_022\das_est_position.wav,results\week3\day1\das\audio\scene_022\das_true_position_clean_reference.wav,results\week3\day1\das\audio\scene_022\das_est_position_clean_reference.wav,results\week3\day1\das\figures\scene_022\spectrogram_compare.png,results\week3\day1\das\scenes\scene_022\metadata.json
