mic_i,mic_j,pair,theory_tdoa_sec,theory_tdoa_samples,theory_tdoa_round_samples,quantization_error_samples,est_tdoa_sec_raw,est_tdoa_samples_raw,gcc_peak_value,sign_correction,est_tdoa_sec,est_tdoa_samples,error_sec,error_samples,abs_error_samples,abs_error_sec,pass_le_1_sample,is_main_pair
M03,M07,M03-M07,0.0009566253261333384,45.91801565440024,46,0.08198434559975709,0.0009531137619091835,45.74946057164081,0.02928387506507887,1.0,0.0009531137619091835,45.74946057164081,-3.5115642241549064e-06,-0.16855508275943265,0.16855508275943265,3.5115642241549064e-06,True,False
M03,M06,M03-M06,0.0006983800361530701,33.522241735347365,34,0.4777582646526355,0.0006948844319308973,33.35445273268307,0.030369036588706308,1.0,0.0006948844319308973,33.35445273268307,-3.49560422217279e-06,-0.16778900266429275,0.16778900266429275,3.49560422217279e-06,True,False
M04,M06,M04-M06,-0.0004008755822651174,-19.242027948725635,-19,0.24202794872563516,-0.000398745106953951,-19.13976513378965,0.030961054927494097,1.0,-0.000398745106953951,-19.13976513378965,2.1304753111663836e-06,0.10226281493598677,0.10226281493598677,2.1304753111663836e-06,True,False
M04,M07,M04-M07,-0.00014263029228484903,-6.846254029672753,-7,-0.1537459703272468,-0.0001409564015744445,-6.765907275573337,0.031064160464025985,1.0,-0.0001409564015744445,-6.765907275573337,1.6738907104045173e-06,0.08034675409941627,0.08034675409941627,1.6738907104045173e-06,True,False
M01,M04,M01-M04,0.00018442211210999496,8.852261381279758,9,0.14773861872024163,0.00018296796219646782,8.782462185430456,0.031094026027411348,1.0,0.00018296796219646782,8.782462185430456,-1.4541499135271386e-06,-0.06979919584930272,0.06979919584930272,1.4541499135271386e-06,True,False
M04,M05,M04-M05,-0.0009969982441169047,-47.855915717611424,-48,-0.14408428238857596,-0.000995663799656703,-47.791862383521746,0.031097834664415742,1.0,-0.000995663799656703,-47.791862383521746,1.3344444602016864e-06,0.06405333408967806,0.06405333408967806,1.3344444602016864e-06,True,False
M06,M08,M06-M08,-0.0008313313819745865,-39.90390633478015,-40,-0.09609366521984697,-0.000832463464120508,-39.95824627778438,0.031205789769324074,1.0,-0.000832463464120508,-39.95824627778438,-1.1320821459214012e-06,-0.05433994300422995,0.05433994300422995,1.1320821459214012e-06,True,False
M04,M08,M04-M08,-0.001232206964239704,-59.14593428350579,-59,0.1459342835057882,-0.0012312031191880715,-59.097749721027434,0.0311347058630375,1.0,-0.0012312031191880715,-59.097749721027434,1.003845051632474e-06,0.048184562478354565,0.048184562478354565,1.003845051632474e-06,True,False
M05,M06,M05-M06,0.0005961226618517873,28.61388776888579,29,0.3861122311142111,0.0005968776869295335,28.650128972617612,0.030815193321331497,1.0,0.0005968776869295335,28.650128972617612,7.550250777462646e-07,0.036241203731822935,0.036241203731822935,7.550250777462646e-07,True,False
M07,M08,M07-M08,-0.001089576671954855,-52.29968025383304,-52,0.29968025383303853,-0.0010902701339992854,-52.332966431965694,0.030980169210385534,1.0,-0.0010902701339992854,-52.332966431965694,-6.934620444304547e-07,-0.033286178132655664,0.033286178132655664,6.934620444304547e-07,True,False
M01,M06,M01-M06,-0.00021645347015512243,-10.389766567445877,-10,0.3897665674458768,-0.00021581747928466205,-10.359239005663778,0.030825015702228474,1.0,-0.00021581747928466205,-10.359239005663778,6.359908704603858e-07,0.030527561782099255,0.030527561782099255,6.359908704603858e-07,True,False
M01,M08,M01-M08,-0.001047784852129709,-50.29367290222603,-50,0.29367290222602804,-0.0010482593515172651,-50.31644887282872,0.03096549713390342,1.0,-0.0010482593515172651,-50.31644887282872,-4.74499387556138e-07,-0.02277597060269443,0.02277597060269443,4.74499387556138e-07,True,False
M06,M07,M06-M07,0.00025824528998026836,12.395773919052882,12,-0.39577391905288195,0.00025782742164231803,12.375716238831266,0.03087802792192772,1.0,0.00025782742164231803,12.375716238831266,-4.1786833795032403e-07,-0.02005768022161547,0.02005768022161547,4.1786833795032403e-07,True,False
M05,M08,M05-M08,-0.00023520872012279927,-11.290018565894364,-11,0.29001856589436414,-0.00023556358021521427,-11.307051850330286,0.0309557914557811,1.0,-0.00023556358021521427,-11.307051850330286,-3.5486009241500406e-07,-0.01703328443592156,0.01703328443592156,3.5486009241500406e-07,True,False
M05,M07,M05-M07,0.0008543679518320556,41.00966168793867,41,-0.009661687938667285,0.0008547071905128837,41.02594514461842,0.031238849823280165,1.0,0.0008547071905128837,41.02594514461842,3.3923868082805664e-07,0.016283456679751396,0.016283456679751396,3.3923868082805664e-07,True,False
M01,M07,M01-M07,4.179181982514593e-05,2.0060073516070047,2,-0.006007351607004718,4.201152405313086e-05,2.0165531545502815,0.031234713104234063,1.0,4.201152405313086e-05,2.0165531545502815,2.1970422798493327e-07,0.010545802943276783,0.010545802943276783,2.1970422798493327e-07,True,False
M01,M05,M01-M05,-0.0008125761320069097,-39.003654336331664,-39,0.003654336331663899,-0.0008126956704121044,-39.00939217978101,0.03124444117576244,1.0,-0.0008126956704121044,-39.00939217978101,-1.1953840519469874e-07,-0.005737843449345803,0.005737843449345803,1.1953840519469874e-07,True,False
M02,M03,M02-M03,-0.0012292256894778722,-59.00283309493786,-59,0.002833094937862768,-0.0012292800152019256,-59.005440729692424,0.031248411835954032,1.0,-0.0012292800152019256,-59.005440729692424,-5.4325724053398e-08,-0.002607634754561161,0.002607634754561161,5.4325724053398e-08,True,False
